day,trt,length,width,height,spad
1,a,4.44,3.64,3.16,23.4002
4,a,5.88,4.82,5.1,21.577
7,a,6.26,5.26,6.96,19.281
10,a,6.46,5.5,8.6,19.3708
13,a,6.48,5.4,8.8,19.0312
16,a,5.7,4.2,9.64,19.0544
1,b,4.08,3.46,1.94,25.4344
4,b,5.48,5.02,4.02,21.5696
7,b,6.18,5.6,6.14,18.0856
10,b,6.48,5.9,9.2,19.0604
13,b,6.94,6.06,11.18,18.7352
16,b,7.14,6.22,12.32,18.7548
1,c,4.06,3.36,2.32,22.282
4,c,5.78,4.88,4.62,20.4372
7,c,6.54,5.74,6.76,19.0788
10,c,7.08,6.22,9.08,19.0392
13,c,7.26,6.3,10.9,17.1604
16,c,6.82,5.64,11.24,18.6086
